onset	duration	trial_type	value	sample
6.0	0.0	behav,3,-1,21	1	1536
11.41015625	0.0	behav,3,-1,42	2	2921
16.578125	0.0	behav,3,-1,63	3	4244
21.89453125	0.0	behav,3,-1,84	4	5605
27.60546875	0.0	behav,3,-1,381	5	7067
32.97265625	0.0	behav,3,-1,402	6	8441
38.30859375	0.0	behav,3,-1,423	7	9807
43.4375	0.0	behav,3,-1,444	8	11120
48.87890625	0.0	behav,3,-1,465	9	12513
54.30078125	0.0	behav,3,-1,486	10	13901
59.453125	0.0	behav,3,-1,507	11	15220
64.65234375	0.0	behav,3,-1,528	12	16551
69.94140625	0.0	behav,3,-1,549	13	17905
75.2578125	0.0	behav,3,-1,570	14	19266
80.69921875	0.0	behav,3,-1,591	15	20659
86.1015625	0.0	behav,3,-1,612	16	22042
89.26953125	0.0	oddball,16743,-1,627	17	22853
91.453125	0.0	behav,0,-1,633	18	23412
96.8828125	0.0	behav,3,-1,654	19	24802
103.0390625	0.0	behav,3,-1,675	20	26378
108.86328125	0.0	behav,3,-1,696	21	27869
110.0390625	0.0	oddball,16743,-1,701	22	28170
114.203125	0.0	behav,0,-1,717	23	29236
119.5390625	0.0	behav,3,-1,738	24	30602
125.35546875	0.0	behav,3,-1,759	25	32091
129.5390625	0.0	oddball,16741,-1,779	26	33162
130.703125	0.0	behav,0,-1,780	27	33460
136.03515625	0.0	behav,3,-1,801	28	34825
141.68359375	0.0	behav,3,-1,822	29	36271
147.125	0.0	behav,3,-1,843	30	37664
150.0859375	0.0	oddball,16742,-1,857	31	38422
152.30078125	0.0	behav,0,-1,864	32	38989
157.61328125	0.0	behav,3,-1,885	33	40349
162.8671875	0.0	behav,3,-1,906	34	41694
168.21875	0.0	behav,3,-1,927	35	43064
173.609375	0.0	behav,3,-1,948	36	44444
178.85546875	0.0	behav,3,-1,969	37	45787
184.046875	0.0	behav,3,-1,990	38	47116
189.3984375	0.0	behav,3,-1,1011	39	48486
194.7265625	0.0	behav,3,-1,1032	40	49850
197.4921875	0.0	oddball,16748,-1,1045	41	50558
200.2265625	0.0	behav,0,-1,1053	42	51258
205.546875	0.0	behav,3,-1,1074	43	52620
211.3203125	0.0	behav,3,-1,1095	44	54098
215.2890625	0.0	oddball,16742,-1,1114	45	55114
216.58984375	0.0	behav,0,-1,1116	46	55447
221.92578125	0.0	behav,3,-1,1137	47	56813
227.4765625	0.0	behav,3,-1,1158	48	58234
232.796875	0.0	behav,3,-1,103	49	59596
238.08984375	0.0	behav,3,-1,124	50	60951
243.48828125	0.0	behav,3,-1,145	51	62333
248.8671875	0.0	behav,3,-1,166	52	63710
254.1015625	0.0	behav,3,-1,187	53	65050
259.44140625	0.0	behav,3,-1,208	54	66417
264.66796875	0.0	behav,3,-1,229	55	67755
269.921875	0.0	behav,3,-1,250	56	69100
275.30859375	0.0	behav,3,-1,271	57	70479
279.67578125	0.0	behav,5,-1,292	58	71597
287.6171875	0.0	behav,3,-1,313	59	73630
292.76171875	0.0	behav,3,-1,334	60	74947
298.25	0.0	behav,3,-1,355	61	76352
303.75	0.0	behav,3,-1,376	62	77760
