onset	duration	trial_type	value	sample	marker_index	stim_file
0.44140625	0.0	stim_test	16569	113	1	16569.jpg
0.640625	0.0	stim_test	16544	164	2	16544.jpg
0.84375	0.0	stim_test	16589	216	3	16589.jpg
1.04296875	0.0	stim_test	16687	267	4	16687.jpg
1.2421875	0.0	stim_test	16698	318	5	16698.jpg
1.44140625	0.0	stim_test	16576	369	6	16576.jpg
1.64453125	0.0	stim_test	16724	421	7	16724.jpg
1.84375	0.0	stim_test	16566	472	8	16566.jpg
2.04296875	0.0	stim_test	16594	523	9	16594.jpg
2.2421875	0.0	stim_test	16652	574	10	16652.jpg
2.4453125	0.0	stim_test	16574	626	11	16574.jpg
2.64453125	0.0	stim_test	16713	677	12	16713.jpg
2.84375	0.0	stim_test	16629	728	13	16629.jpg
3.046875	0.0	stim_test	16554	780	14	16554.jpg
3.24609375	0.0	stim_test	16543	831	15	16543.jpg
3.4453125	0.0	stim_test	16677	882	16	16677.jpg
3.64453125	0.0	stim_test	16619	933	17	16619.jpg
3.84765625	0.0	stim_test	16721	985	18	16721.jpg
4.046875	0.0	stim_test	16719	1036	19	16719.jpg
4.24609375	0.0	stim_test	16560	1087	20	16560.jpg
5.55859375	0.0	behav	3	1423	21	n/a
5.8984375	0.0	stim_test	16649	1510	22	16649.jpg
6.09765625	0.0	stim_test	16615	1561	23	16615.jpg
6.296875	0.0	stim_test	16723	1612	24	16723.jpg
6.5	0.0	stim_test	16688	1664	25	16688.jpg
6.69921875	0.0	stim_test	16655	1715	26	16655.jpg
6.8984375	0.0	stim_test	16667	1766	27	16667.jpg
7.09765625	0.0	stim_test	16658	1817	28	16658.jpg
7.30078125	0.0	stim_test	16627	1869	29	16627.jpg
7.5	0.0	stim_test	16659	1920	30	16659.jpg
7.69921875	0.0	stim_test	16626	1971	31	16626.jpg
7.8984375	0.0	stim_test	16722	2022	32	16722.jpg
8.1015625	0.0	stim_test	16670	2074	33	16670.jpg
8.30078125	0.0	stim_test	16729	2125	34	16729.jpg
8.5	0.0	stim_test	16701	2176	35	16701.jpg
8.69921875	0.0	stim_test	16617	2227	36	16617.jpg
8.90234375	0.0	stim_test	16705	2279	37	16705.jpg
9.1015625	0.0	stim_test	16715	2330	38	16715.jpg
9.30078125	0.0	stim_test	16592	2381	39	16592.jpg
9.5	0.0	stim_test	16720	2432	40	16720.jpg
9.703125	0.0	stim_test	16662	2484	41	16662.jpg
10.8671875	0.0	behav	3	2782	42	n/a
11.23828125	0.0	stim_test	16739	2877	43	16739.jpg
11.4375	0.0	stim_test	16717	2928	44	16717.jpg
11.63671875	0.0	stim_test	16666	2979	45	16666.jpg
11.8359375	0.0	stim_test	16691	3030	46	16691.jpg
12.0390625	0.0	stim_test	16575	3082	47	16575.jpg
12.23828125	0.0	stim_test	16552	3133	48	16552.jpg
12.4375	0.0	stim_test	16567	3184	49	16567.jpg
12.63671875	0.0	stim_test	16612	3235	50	16612.jpg
12.83984375	0.0	stim_test	16611	3287	51	16611.jpg
13.0390625	0.0	stim_test	16644	3338	52	16644.jpg
13.23828125	0.0	stim_test	16595	3389	53	16595.jpg
13.4375	0.0	stim_test	16676	3440	54	16676.jpg
13.640625	0.0	stim_test	16596	3492	55	16596.jpg
13.83984375	0.0	stim_test	16673	3543	56	16673.jpg
14.0390625	0.0	stim_test	16703	3594	57	16703.jpg
14.23828125	0.0	stim_test	16678	3645	58	16678.jpg
14.44140625	0.0	stim_test	16578	3697	59	16578.jpg
14.640625	0.0	stim_test	16587	3748	60	16587.jpg
14.83984375	0.0	stim_test	16591	3799	61	16591.jpg
15.04296875	0.0	stim_test	16674	3851	62	16674.jpg
16.01171875	0.0	behav	3	4099	63	n/a
16.359375	0.0	stim_test	16708	4188	64	16708.jpg
16.55859375	0.0	stim_test	16579	4239	65	16579.jpg
16.7578125	0.0	stim_test	16689	4290	66	16689.jpg
16.9609375	0.0	stim_test	16572	4342	67	16572.jpg
17.16015625	0.0	stim_test	16686	4393	68	16686.jpg
17.359375	0.0	stim_test	16562	4444	69	16562.jpg
17.55859375	0.0	stim_test	16728	4495	70	16728.jpg
17.7578125	0.0	stim_test	16716	4546	71	16716.jpg
17.95703125	0.0	stim_test	16692	4597	72	16692.jpg
18.15625	0.0	stim_test	16583	4648	73	16583.jpg
18.359375	0.0	stim_test	16618	4700	74	16618.jpg
18.55859375	0.0	stim_test	16732	4751	75	16732.jpg
18.7578125	0.0	stim_test	16653	4802	76	16653.jpg
18.95703125	0.0	stim_test	16642	4853	77	16642.jpg
19.16015625	0.0	stim_test	16556	4905	78	16556.jpg
19.359375	0.0	stim_test	16684	4956	79	16684.jpg
19.55859375	0.0	stim_test	16669	5007	80	16669.jpg
19.7578125	0.0	stim_test	16636	5058	81	16636.jpg
19.9609375	0.0	stim_test	16707	5110	82	16707.jpg
20.16015625	0.0	stim_test	16648	5161	83	16648.jpg
21.68359375	0.0	behav	3	5551	84	n/a
22.02734375	0.0	stim_test	16718	5639	85	16718.jpg
22.23046875	0.0	stim_test	16613	5691	86	16613.jpg
22.4296875	0.0	stim_test	16540	5742	87	16540.jpg
22.62890625	0.0	stim_test	16634	5793	88	16634.jpg
22.828125	0.0	stim_test	16628	5844	89	16628.jpg
23.03125	0.0	stim_test	16580	5896	90	16580.jpg
23.23046875	0.0	stim_test	16710	5947	91	16710.jpg
23.4296875	0.0	stim_test	16681	5998	92	16681.jpg
23.62890625	0.0	stim_test	16558	6049	93	16558.jpg
23.83203125	0.0	stim_test	16585	6101	94	16585.jpg
24.03125	0.0	stim_test	16582	6152	95	16582.jpg
24.23046875	0.0	stim_test	16704	6203	96	16704.jpg
24.4296875	0.0	stim_test	16682	6254	97	16682.jpg
24.6328125	0.0	stim_test	16588	6306	98	16588.jpg
24.83203125	0.0	stim_test	16699	6357	99	16699.jpg
25.03125	0.0	stim_test	16694	6408	100	16694.jpg
25.23046875	0.0	stim_test	16651	6459	272	16651.jpg
25.43359375	0.0	stim_test	16620	6511	273	16620.jpg
25.6328125	0.0	stim_test	16623	6562	274	16623.jpg
25.83203125	0.0	stim_test	16672	6613	275	16672.jpg
26.890625	0.0	behav	3	6884	276	n/a
27.25	0.0	stim_test	16664	6976	277	16664.jpg
27.453125	0.0	stim_test	16602	7028	278	16602.jpg
27.65234375	0.0	stim_test	16614	7079	279	16614.jpg
27.8515625	0.0	stim_test	16542	7130	280	16542.jpg
28.05078125	0.0	stim_test	16702	7181	281	16702.jpg
28.25390625	0.0	stim_test	16557	7233	282	16557.jpg
28.453125	0.0	stim_test	16604	7284	283	16604.jpg
28.65234375	0.0	stim_test	16622	7335	284	16622.jpg
28.8515625	0.0	stim_test	16637	7386	285	16637.jpg
29.0546875	0.0	stim_test	16610	7438	286	16610.jpg
29.25390625	0.0	stim_test	16675	7489	287	16675.jpg
29.453125	0.0	stim_test	16714	7540	288	16714.jpg
29.65234375	0.0	stim_test	16593	7591	289	16593.jpg
29.8515625	0.0	stim_test	16671	7642	290	16671.jpg
30.0546875	0.0	stim_test	16727	7694	291	16727.jpg
30.25390625	0.0	stim_test	16660	7745	292	16660.jpg
30.453125	0.0	stim_test	16725	7796	293	16725.jpg
30.65625	0.0	stim_test	16553	7848	294	16553.jpg
30.85546875	0.0	stim_test	16656	7899	295	16656.jpg
31.0546875	0.0	stim_test	16639	7950	296	16639.jpg
32.03515625	0.0	behav	3	8201	297	n/a
32.375	0.0	stim_test	16668	8288	298	16668.jpg
32.57421875	0.0	stim_test	16696	8339	299	16696.jpg
32.7734375	0.0	stim_test	16733	8390	300	16733.jpg
32.97265625	0.0	stim_test	16736	8441	301	16736.jpg
33.17578125	0.0	stim_test	16690	8493	302	16690.jpg
33.375	0.0	stim_test	16630	8544	303	16630.jpg
33.57421875	0.0	stim_test	16605	8595	304	16605.jpg
33.7734375	0.0	stim_test	16606	8646	305	16606.jpg
33.97265625	0.0	stim_test	16565	8697	306	16565.jpg
34.17578125	0.0	stim_test	16685	8749	307	16685.jpg
34.375	0.0	stim_test	16616	8800	308	16616.jpg
34.57421875	0.0	stim_test	16559	8851	309	16559.jpg
34.77734375	0.0	stim_test	16731	8903	310	16731.jpg
34.9765625	0.0	stim_test	16547	8954	311	16547.jpg
35.17578125	0.0	stim_test	16607	9005	312	16607.jpg
35.37890625	0.0	stim_test	16654	9057	313	16654.jpg
35.578125	0.0	stim_test	16638	9108	314	16638.jpg
35.77734375	0.0	stim_test	16570	9159	315	16570.jpg
35.9765625	0.0	stim_test	16641	9210	316	16641.jpg
36.17578125	0.0	stim_test	16635	9261	317	16635.jpg
37.2578125	0.0	behav	3	9538	318	n/a
37.62890625	0.0	stim_test	16621	9633	319	16621.jpg
37.828125	0.0	stim_test	16584	9684	320	16584.jpg
38.03125	0.0	stim_test	16734	9736	321	16734.jpg
38.23046875	0.0	stim_test	16581	9787	322	16581.jpg
38.4296875	0.0	stim_test	16730	9838	323	16730.jpg
38.62890625	0.0	stim_test	16663	9889	324	16663.jpg
38.83203125	0.0	stim_test	16680	9941	325	16680.jpg
39.03125	0.0	stim_test	16601	9992	326	16601.jpg
39.23046875	0.0	stim_test	16548	10043	327	16548.jpg
39.4296875	0.0	stim_test	16608	10094	328	16608.jpg
39.6328125	0.0	stim_test	16568	10146	329	16568.jpg
39.83203125	0.0	stim_test	16598	10197	330	16598.jpg
40.03125	0.0	stim_test	16590	10248	331	16590.jpg
40.23046875	0.0	stim_test	16624	10299	332	16624.jpg
40.43359375	0.0	stim_test	16603	10351	333	16603.jpg
40.6328125	0.0	stim_test	16632	10402	334	16632.jpg
40.83203125	0.0	stim_test	16712	10453	335	16712.jpg
41.03125	0.0	stim_test	16546	10504	336	16546.jpg
41.234375	0.0	stim_test	16737	10556	337	16737.jpg
41.43359375	0.0	stim_test	16550	10607	338	16550.jpg
42.46875	0.0	behav	3	10872	339	n/a
42.8359375	0.0	stim_test	16657	10966	340	16657.jpg
