onset	duration	trial_type	value	sample	stim_file
0.9296875	0.0	stim_train,14989,-1,1	1	238	14989.jpg
1.1328125	0.0	stim_train,11550,-1,2	2	290	11550.jpg
1.3359375	0.0	stim_train,11983,-1,3	3	342	11983.jpg
1.5390625	0.0	stim_train,15226,-1,4	4	394	15226.jpg
1.7421875	0.0	stim_train,10438,-1,5	5	446	10438.jpg
1.9453125	0.0	stim_train,10802,-1,6	6	498	10802.jpg
2.1328125	0.0	stim_train,1883,-1,7	7	546	01883.jpg
2.3359375	0.0	stim_train,5841,-1,8	8	598	05841.jpg
2.5390625	0.0	stim_train,9973,-1,9	9	650	09973.jpg
2.7421875	0.0	stim_train,7936,-1,10	10	702	07936.jpg
2.9453125	0.0	stim_train,16477,-1,11	11	754	16477.jpg
3.1328125	0.0	stim_train,9584,-1,12	12	802	09584.jpg
3.3359375	0.0	stim_train,12267,-1,13	13	854	12267.jpg
3.5390625	0.0	stim_train,11045,-1,14	14	906	11045.jpg
3.7421875	0.0	stim_train,3692,-1,15	15	958	03692.jpg
3.9453125	0.0	stim_train,5909,-1,16	16	1010	05909.jpg
4.1484375	0.0	stim_train,11578,-1,17	17	1062	11578.jpg
4.3359375	0.0	stim_train,4715,-1,18	18	1110	04715.jpg
4.5390625	0.0	stim_train,15134,-1,19	19	1162	15134.jpg
4.7421875	0.0	stim_train,15589,-1,20	20	1214	15589.jpg
6.0234375	0.0	behav,3,-1,21	21	1542	n/a
6.3984375	0.0	stim_train,10439,-1,22	22	1638	10439.jpg
6.5859375	0.0	stim_train,14210,-1,23	23	1686	14210.jpg
6.7890625	0.0	stim_train,8882,-1,24	24	1738	08882.jpg
6.9921875	0.0	stim_train,11492,-1,25	25	1790	11492.jpg
7.1953125	0.0	stim_train,10087,-1,26	26	1842	10087.jpg
7.3984375	0.0	stim_train,9472,-1,27	27	1894	09472.jpg
7.6015625	0.0	stim_train,12507,-1,28	28	1946	12507.jpg
7.7890625	0.0	stim_train,6140,-1,29	29	1994	06140.jpg
7.9921875	0.0	stim_train,13224,-1,30	30	2046	13224.jpg
8.1953125	0.0	stim_train,6010,-1,31	31	2098	06010.jpg
8.3984375	0.0	stim_train,7023,-1,32	32	2150	07023.jpg
8.6015625	0.0	stim_train,11090,-1,33	33	2202	11090.jpg
8.7890625	0.0	stim_train,7556,-1,34	34	2250	07556.jpg
8.9921875	0.0	stim_train,11559,-1,35	35	2302	11559.jpg
9.1953125	0.0	stim_train,7093,-1,36	36	2354	07093.jpg
9.3984375	0.0	stim_train,16179,-1,37	37	2406	16179.jpg
9.6015625	0.0	stim_train,2613,-1,38	38	2458	02613.jpg
9.7890625	0.0	stim_train,1647,-1,39	39	2506	01647.jpg
9.9921875	0.0	stim_train,4786,-1,40	40	2558	04786.jpg
10.1953125	0.0	stim_train,6900,-1,41	41	2610	06900.jpg
11.44921875	0.0	behav,3,-1,42	42	2931	n/a
11.8203125	0.0	stim_train,14756,-1,43	43	3026	14756.jpg
12.0078125	0.0	stim_train,8000,-1,44	44	3074	08000.jpg
12.2109375	0.0	stim_train,16143,-1,45	45	3126	16143.jpg
12.4140625	0.0	stim_train,12841,-1,46	46	3178	12841.jpg
12.6171875	0.0	stim_train,12780,-1,47	47	3230	12780.jpg
12.8203125	0.0	stim_train,126,-1,48	48	3282	00126.jpg
13.0234375	0.0	stim_train,5643,-1,49	49	3334	05643.jpg
13.2109375	0.0	stim_train,9305,-1,50	50	3382	09305.jpg
13.4140625	0.0	stim_train,8878,-1,51	51	3434	08878.jpg
13.6171875	0.0	stim_train,14491,-1,52	52	3486	14491.jpg
13.8203125	0.0	stim_train,15277,-1,53	53	3538	15277.jpg
14.0234375	0.0	stim_train,2460,-1,54	54	3590	02460.jpg
14.2109375	0.0	stim_train,6618,-1,55	55	3638	06618.jpg
14.4140625	0.0	stim_train,9607,-1,56	56	3690	09607.jpg
14.6171875	0.0	stim_train,9821,-1,57	57	3742	09821.jpg
14.8203125	0.0	stim_train,10799,-1,58	58	3794	10799.jpg
15.0234375	0.0	stim_train,15049,-1,59	59	3846	15049.jpg
15.2109375	0.0	stim_train,7768,-1,60	60	3894	07768.jpg
15.4140625	0.0	stim_train,6037,-1,61	61	3946	06037.jpg
15.6171875	0.0	stim_train,8837,-1,62	62	3998	08837.jpg
16.84765625	0.0	behav,3,-1,63	63	4313	n/a
17.2265625	0.0	stim_train,3628,-1,64	64	4410	03628.jpg
17.4140625	0.0	stim_train,4474,-1,65	65	4458	04474.jpg
17.6171875	0.0	stim_train,14638,-1,66	66	4510	14638.jpg
17.8203125	0.0	stim_train,3626,-1,67	67	4562	03626.jpg
18.01953125	0.0	stim_train,12978,-1,68	68	4613	12978.jpg
18.22265625	0.0	stim_train,9381,-1,69	69	4665	09381.jpg
18.41015625	0.0	stim_train,3277,-1,70	70	4713	03277.jpg
18.61328125	0.0	stim_train,12813,-1,71	71	4765	12813.jpg
18.81640625	0.0	stim_train,4430,-1,72	72	4817	04430.jpg
19.01953125	0.0	stim_train,11545,-1,73	73	4869	11545.jpg
19.22265625	0.0	stim_train,11722,-1,74	74	4921	11722.jpg
19.42578125	0.0	stim_train,5701,-1,75	75	4973	05701.jpg
19.61328125	0.0	stim_train,10652,-1,76	76	5021	10652.jpg
19.81640625	0.0	stim_train,2881,-1,77	77	5073	02881.jpg
20.01953125	0.0	stim_train,8610,-1,78	78	5125	08610.jpg
20.22265625	0.0	stim_train,5223,-1,79	79	5177	05223.jpg
20.42578125	0.0	stim_train,11861,-1,80	80	5229	11861.jpg
20.61328125	0.0	stim_train,9292,-1,81	81	5277	09292.jpg
20.81640625	0.0	stim_train,1995,-1,82	82	5329	01995.jpg
21.01953125	0.0	stim_train,12528,-1,83	83	5381	12528.jpg
22.32421875	0.0	behav,3,-1,84	84	5715	n/a
22.69140625	0.0	stim_train,3657,-1,85	85	5809	03657.jpg
22.89453125	0.0	stim_train,15361,-1,86	86	5861	15361.jpg
23.08203125	0.0	oddball,16746,-1,87	87	5909	16746.jpg
23.28515625	0.0	stim_train,13262,-1,88	88	5961	13262.jpg
23.48828125	0.0	stim_train,10413,-1,89	89	6013	10413.jpg
23.69140625	0.0	stim_train,783,-1,90	90	6065	00783.jpg
23.89453125	0.0	stim_train,12210,-1,91	91	6117	12210.jpg
24.09765625	0.0	stim_train,12205,-1,92	92	6169	12205.jpg
24.28515625	0.0	stim_train,11200,-1,93	93	6217	11200.jpg
24.48828125	0.0	stim_train,4207,-1,94	94	6269	04207.jpg
24.69140625	0.0	stim_train,4636,-1,95	95	6321	04636.jpg
24.89453125	0.0	stim_train,219,-1,96	96	6373	00219.jpg
25.09765625	0.0	stim_train,2589,-1,97	97	6425	02589.jpg
25.28515625	0.0	stim_train,10431,-1,98	98	6473	10431.jpg
25.48828125	0.0	stim_train,12766,-1,99	99	6525	12766.jpg
25.69140625	0.0	stim_train,6669,-1,100	100	6577	06669.jpg
25.89453125	0.0	stim_train,10049,-1,377	101	6629	10049.jpg
26.09765625	0.0	stim_train,14056,-1,378	102	6681	14056.jpg
26.30078125	0.0	stim_train,4641,-1,379	103	6733	04641.jpg
26.48828125	0.0	stim_train,6921,-1,380	104	6781	06921.jpg
27.7265625	0.0	behav,0,-1,381	105	7098	n/a
28.09765625	0.0	stim_train,503,-1,382	106	7193	00503.jpg
28.30078125	0.0	stim_train,9417,-1,383	107	7245	09417.jpg
28.48828125	0.0	stim_train,959,-1,384	108	7293	00959.jpg
28.69140625	0.0	stim_train,15529,-1,385	109	7345	15529.jpg
28.8984375	0.0	stim_train,9078,-1,386	110	7398	09078.jpg
29.1015625	0.0	stim_train,3594,-1,387	111	7450	03594.jpg
29.30078125	0.0	stim_train,3924,-1,388	112	7501	03924.jpg
29.48828125	0.0	stim_train,5091,-1,389	113	7549	05091.jpg
29.69140625	0.0	stim_train,12752,-1,390	114	7601	12752.jpg
29.8984375	0.0	stim_train,15488,-1,391	115	7654	15488.jpg
30.1015625	0.0	stim_train,12605,-1,392	116	7706	12605.jpg
30.3046875	0.0	stim_train,14673,-1,393	117	7758	14673.jpg
30.50390625	0.0	stim_train,2970,-1,394	118	7809	02970.jpg
30.69140625	0.0	stim_train,3323,-1,395	119	7857	03323.jpg
30.8984375	0.0	stim_train,7607,-1,396	120	7910	07607.jpg
31.1015625	0.0	stim_train,12341,-1,397	121	7962	12341.jpg
31.3046875	0.0	stim_train,428,-1,398	122	8014	00428.jpg
31.5078125	0.0	stim_train,11718,-1,399	123	8066	11718.jpg
31.69140625	0.0	stim_train,10123,-1,400	124	8113	10123.jpg
31.8984375	0.0	stim_train,12525,-1,401	125	8166	12525.jpg
33.14453125	0.0	behav,3,-1,402	126	8485	n/a
33.5078125	0.0	stim_train,14510,-1,403	127	8578	14510.jpg
33.7109375	0.0	stim_train,16135,-1,404	128	8630	16135.jpg
33.8984375	0.0	stim_train,111,-1,405	129	8678	00111.jpg
34.1015625	0.0	stim_train,4711,-1,406	130	8730	04711.jpg
34.3046875	0.0	stim_train,4236,-1,407	131	8782	04236.jpg
34.5078125	0.0	stim_train,15967,-1,408	132	8834	15967.jpg
34.7109375	0.0	stim_train,6244,-1,409	133	8886	06244.jpg
34.8984375	0.0	stim_train,81,-1,410	134	8934	00081.jpg
35.1015625	0.0	stim_train,12325,-1,411	135	8986	12325.jpg
35.3046875	0.0	stim_train,9689,-1,412	136	9038	09689.jpg
35.5078125	0.0	stim_train,8065,-1,413	137	9090	08065.jpg
35.7109375	0.0	stim_train,15673,-1,414	138	9142	15673.jpg
35.8984375	0.0	stim_train,8299,-1,415	139	9190	08299.jpg
36.1015625	0.0	stim_train,3833,-1,416	140	9242	03833.jpg
36.3046875	0.0	stim_train,15908,-1,417	141	9294	15908.jpg
36.5078125	0.0	stim_train,12848,-1,418	142	9346	12848.jpg
36.7109375	0.0	stim_train,2317,-1,419	143	9398	02317.jpg
36.9140625	0.0	stim_train,1259,-1,420	144	9450	01259.jpg
37.1015625	0.0	stim_train,13849,-1,421	145	9498	13849.jpg
37.3046875	0.0	stim_train,802,-1,422	146	9550	00802.jpg
38.52734375	0.0	behav,3,-1,423	147	9863	n/a
38.8984375	0.0	stim_train,8196,-1,424	148	9958	08196.jpg
